exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_1a,5,1,22,121,4,20,3,j,2,2278,453,1,2,2,new,old,female,18
EA_exp_1a,5,1,23,144,6,71,5,j,1,3084,511,1,3,3,new,old,female,18
EA_exp_1a,5,1,24,38,7,107,8,d,1,2071,447,1,4,4,old,new,female,18
EA_exp_1a,5,1,25,172,4,15,3,d,1,2605,396,0,2,2,new,old,female,18
EA_exp_1a,5,1,26,35,5,168,6,j,1,5799,476,0,3,3,old,new,female,18
EA_exp_1a,5,1,27,7,3,118,4,d,2,2179,345,1,2,2,old,new,female,18
EA_exp_1a,5,1,28,21,5,145,6,d,2,3708,380,1,3,3,old,new,female,18
EA_exp_1a,5,1,29,40,5,122,6,d,3,2046,338,1,3,3,old,new,female,18
EA_exp_1a,5,1,30,133,6,58,5,j,1,4911,1368,1,3,3,new,old,female,18
EA_exp_1a,5,1,31,183,8,95,7,j,1,2526,1056,1,4,4,new,old,female,18
EA_exp_1a,5,1,32,5,7,129,8,d,2,1985,1436,1,4,4,old,new,female,18
EA_exp_1a,5,1,33,68,7,181,8,d,1,5824,416,1,4,4,old,new,female,18
EA_exp_1a,5,1,34,177,6,32,5,j,2,2605,447,1,3,3,new,old,female,18
EA_exp_1a,5,1,35,148,10,61,9,j,3,3473,4247,1,5,5,new,old,female,18
EA_exp_1a,5,1,36,139,6,69,5,j,1,8170,879,1,3,3,new,old,female,18
EA_exp_1a,5,1,37,192,8,72,7,j,3,2365,356,1,4,4,new,old,female,18
EA_exp_1a,5,1,38,103,8,52,7,d,3,2866,377,0,4,4,new,old,female,18
EA_exp_1a,5,1,39,119,6,31,5,d,2,3918,372,0,3,3,new,old,female,18
EA_exp_1a,5,1,40,127,8,97,7,j,2,3285,1762,1,4,4,new,old,female,18
