ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,do,dn,g1,g2,g3,g4,g5,g6,chk_sumg,ro1,ro2,ro3,ro4,ro5,ro6,rn1,rn2,rn3,rn4,rn5,rn6,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,ChiSq,G,df,pG
11,100,100,0.59,0.33,0.25999999999999995,7,39,21,14,14,5,1,22,18,16,21,22,2.3263478740408408,0.7388468491852137,0.2275449766411493,-0.17637416478086135,-0.7721932141886849,1.4757910281791708,0.1004337205114699,-0.4399131656732338,-0.8778962950512285,-1.6448536269514726,TRUE,1.001631306520723,0.7465744731571835,11,0.17624397623936983,0.058557326723395434,0.012135279929092963,0.3455904588610487,0.22092709956000417,0.1699531083052954,0.19827226320232047,0.05312179014223817,1,0,0,0,0,0,1,1,0,0,0,0,0,-325.249575729178,0,158,NA,200,100,100,7,664.499151458356,687.5873730241923,34,0,0.5233312387428811,0.39667419824114825,0.06998199710080064,0.32535360544903413,0.2079901992090169,0.1600011086146056,0.18666196950579514,0.05001112012074748,0.009996509941611801,0.28468222224098916,0.1819900290745179,0.13999989672332985,0.16332797115756462,0.22000337086198657,6.998199710080064,32.53536054490341,20.79901992090169,16.00011086146056,18.666196950579515,5.001112012074748,0.9996509941611801,28.468222224098916,18.19900290745179,13.999989672332985,16.332797115756463,22.000337086198655,0.9183742187226429,0.5,0.5,0.5,0.5,0.9005483542111996,5.79413891582407,5.841060191035955,3,0.11960430868270588
12,100,100,0.59,0.12,0.47,14,42,32,5,7,0,2,13,26,17,16,26,2.053748910631822,1.0364333894937894,0.2275449766411493,-0.2018934791418509,-0.6433454053929168,1.080319340814956,-0.15096921549677725,-1.17498679206609,-1.4757910281791702,-Inf,FALSE,NA,NA,12,0.2592767141818445,0.11505582810800165,0.027925329058530915,0.33888738431451687,0.35549008893885287,0.13603350236646983,0.14166369292150396,2.4001255427563706e-9,1,0,0,0,0,0,1,1,0,0,0,0,0,-310.8603354078822,0,581,NA,200,100,100,7,635.7206708157644,658.8088923816007,24,0,0.4649734949158673,0.24574651664482364,0.13976818530651486,0.29989641567685554,0.314588882371806,0.12038205510126385,0.12536445941958269,2.1239771108713695e-9,0.02068494149778824,0.25102177683176896,0.2633197867545754,0.10076318285424336,0.10493359610195059,0.2592767159596734,13.976818530651485,29.989641567685553,31.4588882371806,12.038205510126385,12.536445941958268,2.1239771108713696e-7,2.068494149778824,25.102177683176897,26.331978675457542,10.076318285424337,10.493359610195059,25.92767159596734,0.911595199063655,0.5,0.5,0.5,0.5,0.9999999965715608,24.867759906214772,26.010073355914038,3,9.491201680589256e-6
13,100,100,0.64,0.37,0.27,16,26,21,21,12,4,8,14,14,19,13,32,1.4050715603096327,0.7721932141886849,0.35845879325119373,-0.125661346855074,-0.4676987991145081,0.9944578832097528,0.20189347914185077,-0.3318533464368165,-0.9944578832097528,-1.7506860712521695,TRUE,0.6928997983442293,0.6490925226712266,13,0.2899895404255678,0.05331886872664947,0.11269577555156617,0.24139869930408792,0.21128432683733456,0.2414778109869644,0.1509034601474215,0.04223992717262548,1,0,0,0,0,0,1,1,0,0,0,0,0,-339.17606119307186,0,132,NA,200,100,100,7,692.3521223861437,715.44034395198,39,0,0.5985751371763193,0.4114476876886607,0.16000583301553373,0.2285275937451093,0.20001888555069622,0.22860248728255175,0.14285745836542396,0.039987742040685025,0.08001517939146456,0.17139560143356564,0.15001408199865046,0.17145177155588245,0.10714303509064275,0.31998033052979413,16.000583301553373,22.85275937451093,20.001888555069623,22.860248728255176,14.285745836542397,3.9987742040685026,8.001517939146456,17.139560143356565,15.001408199865047,17.145177155588247,10.714303509064276,31.998033052979412,0.6666153905822707,0.5,0.5,0.5,0.5,0.9531365098995768,2.3305533998778434,2.3386437391748918,3,0.5051582418376334
14,100,100,0.74,0.08,0.66,47,27,18,5,1,2,3,7,16,11,18,45,1.8807936081512504,1.2815515655446008,0.6433454053929168,0.3318533464368165,-0.125661346855074,0.0752698620998299,-0.6433454053929168,-1.4050715603096322,-1.8807936081512509,-2.0537489106318225,TRUE,0.8795688157523635,1.8416204287329816,14,0.4296107637743863,0.4405876364133132,0.05257389710867856,0.300941432775731,0.30093855586549595,0.14162601191741975,0.16817886832062087,0.03574123401205387,1,0,0,0,0,0,1,1,0,0,0,0,0,-295.38618636693866,0,140,NA,200,100,100,7,604.7723727338773,627.8605942997136,4,0,0.6267065479622264,0.19330276850084066,0.4699981244578424,0.16835035821023567,0.16834874883108128,0.07922734207208006,0.09408133823257268,0.019994088196187934,0.029987585017223168,0.1716537539895911,0.17165211303095942,0.08078195276725672,0.09592741625068701,0.4499971789442826,46.99981244578424,16.835035821023567,16.834874883108128,7.922734207208006,9.408133823257268,1.9994088196187934,2.9987585017223166,17.16537539895911,17.165211303095944,8.078195276725673,9.592741625068701,44.99971789442826,0.9687121219063851,0.5,0.5,0.5,0.5,0.9773482855851187,29.334983292196032,33.47767309007359,3,2.553695729323735e-7
15,100,100,0.58,0.19,0.38999999999999996,4,31,46,9,8,2,0,18,24,13,15,30,Inf,0.9153650878428139,0.20189347914185077,-0.125661346855074,-0.5244005127080407,1.7506860712521695,0.3853204664075676,-0.8778962950512285,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,15,0.2850770463107339,0.03998662877190929,9.58397653306372e-19,0.2925320113628676,0.41797104763002596,0.1313700862851973,0.1373023056865521,0.02082454903535702,1,0,0,0,0,0,1,1,0,0,0,0,0,-295.7672006902002,0,160,NA,200,100,100,7,605.5344013804004,628.6226229462367,29,0,0.4920450544595416,0.2779209342964519,0.03998662877190929,0.2808346424206007,0.4012577945110381,0.12611703941317742,0.13181204935953675,0.019991845523737777,6.851804811106526e-19,0.20913784961220325,0.29881709592825506,0.093919490113427,0.09816056992977634,0.2999649944163383,3.998662877190929,28.083464242060067,40.12577945110381,12.611703941317742,13.181204935953675,1.9991845523737777,6.851804811106526e-17,20.913784961220326,29.881709592825505,9.3919490113427,9.816056992977634,29.99649944163383,1,0.5,0.5,0.5,0.5,0.9751838574788154,9.921203578466665,9.894592178126697,3,0.01948372230291784
16,100,100,0.55,0.15,0.4,4,27,54,3,5,7,1,16,28,5,9,41,2.3263478740408408,0.9541652531461942,0.12566134685507413,0,-0.22754497664114945,1.7506860712521695,0.49585034734745304,-1.0364333894937894,-1.17498679206609,-1.4757910281791702,TRUE,0.7527848695113443,0.8526295364114271,16,0.36439675486286477,0.024651080478212566,0.01573736056278942,0.2669284524459332,0.5090153561981414,0.04965965628025139,0.08691343597763228,0.07174573853525235,1,0,0,0,0,0,1,1,0,0,0,0,0,-271.54537501296966,0,168,NA,200,100,100,7,557.0907500259393,580.1789715917756,34,0,0.4968048797381558,0.2031835465301273,0.04000049809925402,0.2603483776827638,0.49646757768785504,0.04843549209676654,0.0847709258727097,0.06997712856065105,0.010002717443602128,0.16966059059406863,0.3235318122241735,0.0315638386841225,0.05524246195340171,0.4099985791006316,4.000049809925402,26.034837768276383,49.646757768785506,4.843549209676654,8.477092587270969,6.997712856065105,1.000271744360213,16.966059059406863,32.35318122241735,3.15638386841225,5.524246195340171,40.999857910063156,0.8081346689364388,0.5,0.5,0.5,0.5,0.9443878264922302,6.449856983978614,6.310915923592003,3,0.09742533049616453
18,100,100,0.69,0.09,0.6,5,43,43,8,0,1,0,11,20,12,14,43,Inf,1.2265281200366105,0.49585034734745304,0.17637416478086118,-0.17637416478086135,1.6448536269514715,0.050153583464733656,-1.3407550336902165,-2.3263478740408408,-2.3263478740408408,FALSE,NA,NA,18,0.42388646043778866,0.050004188324287734,4.629051963842331e-12,0.3538689429722831,0.41278306058933883,0.13106562657268958,0.09175888783835273,0.010523482022706698,1,0,0,0,0,0,1,1,0,0,0,0,0,-278.0567932294181,0,159,NA,200,100,100,7,570.1135864588362,593.2018080246725,25,0,0.5583214006129861,0.2216796192749806,0.05000418832868531,0.33617401370578043,0.3921421786905536,0.12451179629870804,0.08717055913045654,0.009997263845816015,2.666859511706611e-12,0.20386868927690033,0.23780991010744673,0.07550868203973121,0.05286353765884534,0.42994918091440953,5.000418832868531,33.617401370578044,39.21421786905536,12.451179629870804,8.717055913045654,0.9997263845816016,2.666859511706611e-10,20.38686892769003,23.780991010744675,7.550868203973121,5.2863537658845345,42.99491809144095,0.9999999999560278,0.5,0.5,0.5,0.5,0.9929494917704845,26.48309906227675,39.914937471620064,3,1.1106763508905715e-8
19,100,100,0.69,0.34,0.3499999999999999,8,22,36,24,6,4,1,7,23,30,13,26,2.3263478740408408,1.4050715603096327,0.49585034734745304,-0.27931903444745404,-0.6433454053929168,1.4050715603096327,0.5244005127080407,-0.4124631294414046,-1.2815515655446008,-1.7506860712521695,TRUE,0.9428940213828518,0.9466610835445833,19,0.2268843673738517,0.06794969709656318,0.01292875092405923,0.17008421768575543,0.34599261843066376,0.3166654388339041,0.11140828496929168,0.04292068915632585,1,0,0,0,0,0,1,1,0,0,0,0,0,-315.4639755372733,0,146,NA,200,100,100,7,644.9279510745466,668.0161726403829,8,0,0.5910175109124337,0.43899048526474854,0.07999994331149567,0.15852704661310243,0.32248252481065337,0.29514811818419007,0.10383812575158072,0.040004241328977765,0.00999541944971995,0.13149476755584635,0.26749230208200014,0.24481900107491064,0.08613148671382816,0.26006702312369484,7.9999943311495665,15.852704661310243,32.248252481065336,29.514811818419005,10.383812575158071,4.000424132897776,0.9995419449719951,13.149476755584635,26.749230208200014,24.481900107491064,8.613148671382815,26.006702312369484,0.9246859077886315,0.5,0.5,0.5,0.5,0.9362036459846341,12.580861116098136,12.945247429552103,3,0.004756519587637453
20,100,100,0.69,0.17,0.5199999999999999,11,28,44,13,3,1,3,10,18,7,11,51,1.8807936081512504,1.1263911290388005,0.49585034734745304,0.3054807880993974,0.025068908258711057,1.2265281200366105,0.27931903444745404,-0.9541652531461942,-1.7506860712521695,-2.3263478740408408,TRUE,0.5019064802587064,1.1205963633899947,20,0.5048608833352939,0.052603528920601765,0.06057392990789855,0.263417501823057,0.4297695061732459,0.13859251248877233,0.09708735841807199,0.010559191188954209,1,0,0,0,0,0,1,1,0,0,0,0,0,-286.053584345726,0,719,NA,200,100,100,7,586.107168691452,609.1953902572883,24,0,0.6267834750297533,0.23328601847146035,0.10999105635475567,0.24956081164771518,0.40716211352606885,0.13130205724989033,0.09198022075170212,0.010003740469867893,0.02999252214750671,0.13042830916669207,0.21279569365604792,0.06862257421003298,0.04807174888643388,0.5100891519332864,10.999105635475567,24.95608116477152,40.716211352606884,13.130205724989032,9.198022075170211,1.0003740469867894,2.999252214750671,13.042830916669207,21.279569365604793,6.8622574210032985,4.807174888643388,51.00891519332864,0.7391263920174512,0.5,0.5,0.5,0.5,0.9948751423372004,14.009864190889433,13.42469918077786,3,0.003802648171449041
21,100,100,0.58,0.4,0.17999999999999994,6,17,37,13,19,8,5,12,25,15,21,22,1.6448536269514715,0.9541652531461942,0.20189347914185077,-0.17637416478086135,-0.7721932141886849,1.5547735945968528,0.7388468491852137,-0.2533471031357998,-0.612812991016627,-1.4050715603096322,TRUE,0.8175433665822014,0.3668082348151186,21,0.1520818725773684,0.0011124110441078476,0.0589625323706511,0.1570228163919053,0.3356819000255621,0.15161047348802026,0.21663127335960952,0.08009100436425176,1,0,0,0,0,0,1,1,0,0,0,0,0,-332.8853717554076,0,146,NA,200,100,100,7,679.7707435108152,702.8589650766515,1,0,0.5322313394471836,0.4478340209079982,0.060009352842561266,0.156848142476774,0.33530848377266653,0.15144182032290976,0.21639029033862514,0.08000191024646328,0.04999540003581878,0.13314249243765205,0.2846307680793456,0.12855326877762066,0.18368558364826032,0.21999248702130259,6.000935284256126,15.6848142476774,33.53084837726665,15.144182032290976,21.639029033862514,8.000191024646327,4.9995400035818784,13.314249243765206,28.463076807934563,12.855326877762066,18.368558364826033,21.99924870213026,0.5092686472309269,0.5,0.5,0.5,0.5,0.8456524234908117,2.380486962362675,2.3826374769804177,3,0.4968748341609158
