exp,idx,jatosID,cbcond,trial,stimID,cond,KP_zm,KP_conf,RT_zm,RT_conf,hmfc,rating16,sex_kp_mfor,age_kp,studresp,stud_jud,presented
EA_exp_3,1,28726,2,88,65,2,z,3,1482,552,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,89,121,1,m,2,1986,409,hit,4,f,20,p,younger,1
EA_exp_3,1,28726,2,90,182,1,m,2,1384,138,hit,4,f,20,p,younger,1
EA_exp_3,1,28726,2,91,159,1,z,2,2278,913,miss,3,f,20,p,younger,1
EA_exp_3,1,28726,2,92,118,1,z,2,1212,244,miss,3,f,20,None,NA,1
EA_exp_3,1,28726,2,93,174,1,m,1,2508,158,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,94,73,2,z,2,2186,185,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,95,12,2,z,1,1537,445,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,96,168,1,m,2,4893,877,hit,4,f,20,p,younger,1
EA_exp_3,1,28726,2,97,80,2,z,3,1641,385,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,98,78,2,z,2,1216,250,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,99,152,1,z,3,2417,292,miss,2,f,20,p,younger,1
EA_exp_3,1,28726,2,100,55,2,z,3,1482,295,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,101,60,2,z,3,990,269,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,102,112,1,z,3,818,252,miss,2,f,20,p,younger,1
EA_exp_3,1,28726,2,103,40,2,z,2,1232,201,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,104,53,2,z,2,896,214,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,105,85,2,z,3,1420,253,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,106,13,2,z,2,834,203,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,107,71,2,m,1,1845,545,fa,4,f,20,NA,NA,NA
EA_exp_3,1,28726,2,108,16,2,z,2,2506,1167,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,109,23,2,z,2,2270,204,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,110,147,1,z,3,2854,283,miss,2,f,20,q,older,1
