exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_2,3,2,18,25,6,129,5,j,4,1678,883,1,3,3,new,old,female,20
EA_exp_2,3,2,19,120,3,20,4,d,4,3582,535,1,2,2,old,new,female,20
EA_exp_2,3,2,20,71,6,174,5,j,4,1855,255,1,3,3,new,old,female,20
EA_exp_2,3,2,21,2,8,128,7,j,1,3277,200,1,4,4,new,old,female,20
EA_exp_2,3,2,22,151,1,36,2,d,2,2597,1663,1,1,1,old,new,female,20
EA_exp_2,3,2,23,132,1,91,2,d,4,2410,771,1,1,1,old,new,female,20
EA_exp_2,3,2,24,165,1,74,2,j,4,3313,1127,0,1,1,old,new,female,20
EA_exp_2,3,2,25,183,5,26,6,d,4,2390,368,1,3,3,old,new,female,20
EA_exp_2,3,2,26,161,1,50,2,d,4,3085,397,1,1,1,old,new,female,20
EA_exp_2,3,2,27,168,7,11,8,d,4,1432,475,1,4,4,old,new,female,20
EA_exp_2,3,2,28,29,6,199,5,j,1,1860,948,1,3,3,new,old,female,20
EA_exp_2,4,1,1,85,3,113,4,d,2,5622,3815,1,2,2,old,new,female,25
EA_exp_2,4,1,2,33,1,104,2,d,3,5014,653,1,1,1,old,new,female,25
EA_exp_2,4,1,3,170,6,6,5,j,2,3599,1146,1,3,3,new,old,female,25
EA_exp_2,4,1,4,4,5,196,6,j,4,2901,367,0,3,3,old,new,female,25
EA_exp_2,4,1,5,76,7,129,8,d,4,2024,390,1,4,4,old,new,female,25
EA_exp_2,4,1,6,117,8,67,7,d,2,4128,423,0,4,4,new,old,female,25
EA_exp_2,4,1,7,37,5,133,6,j,1,3907,320,0,3,3,old,new,female,25
EA_exp_2,4,1,8,15,5,120,6,j,3,3586,763,0,3,3,old,new,female,25
EA_exp_2,4,1,9,137,6,13,5,j,1,2834,529,1,3,3,new,old,female,25
EA_exp_2,4,1,10,34,9,166,10,d,4,2124,431,1,5,5,old,new,female,25
EA_exp_2,4,1,11,28,5,144,6,d,2,3036,395,1,3,3,old,new,female,25
EA_exp_2,4,1,12,140,4,35,3,j,4,1784,540,1,2,2,new,old,female,25
EA_exp_2,4,1,13,114,12,19,11,j,4,2102,425,1,6,6,new,old,female,25
EA_exp_2,4,1,14,103,6,1,5,j,2,2547,376,1,3,3,new,old,female,25
EA_exp_2,4,1,15,57,5,127,6,j,2,1674,463,0,3,3,old,new,female,25
