exp,idx,cbcond,studresp,stud_jud,stud_ids
EA_exp_3,5,1,p,younger,59
EA_exp_3,5,1,p,younger,60
EA_exp_3,5,1,q,older,23
EA_exp_3,5,1,q,older,72
EA_exp_3,5,1,q,older,24
EA_exp_3,5,1,q,older,52
EA_exp_3,5,1,p,younger,65
EA_exp_3,5,1,q,older,90
EA_exp_3,5,1,p,younger,61
EA_exp_3,5,1,q,older,25
EA_exp_3,5,1,q,older,75
EA_exp_3,5,1,p,younger,67
EA_exp_3,5,1,q,older,42
EA_exp_3,5,1,q,older,4
EA_exp_3,5,1,p,younger,57
EA_exp_3,5,1,q,older,32
EA_exp_3,5,1,q,older,85
EA_exp_3,5,1,q,older,83
EA_exp_3,5,1,p,younger,100
EA_exp_3,5,1,p,younger,17
EA_exp_3,5,1,p,younger,39
EA_exp_3,5,1,q,older,12
EA_exp_3,5,1,q,older,82
EA_exp_3,5,1,q,older,66
EA_exp_3,5,1,q,older,64
EA_exp_3,5,1,q,older,13
EA_exp_3,6,1,q,older,63
EA_exp_3,6,1,q,older,14
EA_exp_3,6,1,p,younger,61
EA_exp_3,6,1,p,younger,45
EA_exp_3,6,1,p,younger,34
EA_exp_3,6,1,p,younger,69
EA_exp_3,6,1,p,younger,56
EA_exp_3,6,1,q,older,83
EA_exp_3,6,1,q,older,26
EA_exp_3,6,1,p,younger,15
EA_exp_3,6,1,q,older,9
EA_exp_3,6,1,q,older,24
EA_exp_3,6,1,q,older,32
EA_exp_3,6,1,p,younger,89
EA_exp_3,6,1,p,younger,77
EA_exp_3,6,1,q,older,20
EA_exp_3,6,1,q,older,21
EA_exp_3,6,1,q,older,1
EA_exp_3,6,1,q,older,70
EA_exp_3,6,1,q,older,12
EA_exp_3,6,1,q,older,41
EA_exp_3,6,1,p,younger,97
EA_exp_3,6,1,q,older,81
EA_exp_3,6,1,q,older,43
EA_exp_3,6,1,q,older,90
EA_exp_3,6,1,q,older,8
EA_exp_3,6,1,q,older,40
EA_exp_3,6,1,q,older,50
EA_exp_3,6,1,p,younger,44
EA_exp_3,6,1,p,younger,60
EA_exp_3,6,1,p,younger,18
EA_exp_3,6,1,p,younger,94
EA_exp_3,6,1,q,older,98
EA_exp_3,6,1,q,older,88
EA_exp_3,6,1,p,younger,37
EA_exp_3,6,1,p,younger,58
EA_exp_3,6,1,q,older,2
EA_exp_3,6,1,p,younger,91
EA_exp_3,6,1,q,older,64
EA_exp_3,6,1,q,older,4
EA_exp_3,6,1,q,older,5
EA_exp_3,6,1,q,older,85
EA_exp_3,6,1,q,older,30
EA_exp_3,6,1,p,younger,3
EA_exp_3,6,1,p,younger,67
EA_exp_3,6,1,q,older,11
EA_exp_3,6,1,q,older,76
EA_exp_3,6,1,q,older,48
EA_exp_3,6,1,q,older,71
EA_exp_3,6,1,q,older,38
EA_exp_3,6,1,q,older,87
EA_exp_3,6,1,q,older,95
EA_exp_3,6,1,q,older,73
EA_exp_3,6,1,q,older,22
EA_exp_3,6,1,p,younger,92
EA_exp_3,6,1,q,older,68
EA_exp_3,6,1,q,older,82
EA_exp_3,6,1,p,younger,36
EA_exp_3,6,1,q,older,27
EA_exp_3,6,1,p,younger,79
EA_exp_3,6,1,q,older,74
EA_exp_3,6,1,p,younger,7
EA_exp_3,6,1,q,older,75
EA_exp_3,6,1,p,younger,16
EA_exp_3,6,1,p,younger,59
EA_exp_3,6,1,p,younger,19
EA_exp_3,6,1,q,older,86
EA_exp_3,6,1,q,older,31
EA_exp_3,6,1,q,older,13
EA_exp_3,6,1,q,older,17
EA_exp_3,6,1,p,younger,25
EA_exp_3,6,1,p,younger,80
EA_exp_3,6,1,q,older,10
EA_exp_3,6,1,q,older,6
EA_exp_3,6,1,p,younger,49
EA_exp_3,6,1,q,older,28
EA_exp_3,6,1,p,younger,57
EA_exp_3,6,1,q,older,96
EA_exp_3,6,1,q,older,72
EA_exp_3,6,1,q,older,66
EA_exp_3,6,1,q,older,23
EA_exp_3,6,1,q,older,65
EA_exp_3,6,1,q,older,62
EA_exp_3,6,1,q,older,53
EA_exp_3,6,1,p,younger,99
EA_exp_3,6,1,p,younger,52
EA_exp_3,6,1,q,older,29
EA_exp_3,6,1,p,younger,84
EA_exp_3,6,1,q,older,33
EA_exp_3,6,1,p,younger,100
EA_exp_3,6,1,q,older,47
EA_exp_3,6,1,p,younger,39
EA_exp_3,6,1,q,older,35
EA_exp_3,6,1,q,older,54
EA_exp_3,6,1,q,older,42
EA_exp_3,6,1,q,older,46
EA_exp_3,6,1,p,younger,93
EA_exp_3,6,1,q,older,51
EA_exp_3,6,1,q,older,55
EA_exp_3,6,1,p,younger,78
EA_exp_3,7,1,None,NA,38
EA_exp_3,7,1,q,older,21
EA_exp_3,7,1,p,younger,60
EA_exp_3,7,1,p,younger,30
EA_exp_3,7,1,q,older,2
EA_exp_3,7,1,p,younger,91
EA_exp_3,7,1,p,younger,15
EA_exp_3,7,1,q,older,31
EA_exp_3,7,1,p,younger,88
EA_exp_3,7,1,q,older,50
EA_exp_3,7,1,q,older,48
EA_exp_3,7,1,p,younger,97
EA_exp_3,7,1,q,older,14
EA_exp_3,7,1,q,older,45
EA_exp_3,7,1,p,younger,34
EA_exp_3,7,1,q,older,83
EA_exp_3,7,1,q,older,82
EA_exp_3,7,1,p,younger,29
EA_exp_3,7,1,q,older,51
EA_exp_3,7,1,p,younger,79
EA_exp_3,7,1,q,older,33
EA_exp_3,7,1,q,older,24
EA_exp_3,7,1,q,older,76
EA_exp_3,7,1,q,older,74
EA_exp_3,7,1,q,older,3
EA_exp_3,7,1,q,older,89
EA_exp_3,7,1,q,older,86
EA_exp_3,7,1,q,older,41
EA_exp_3,7,1,p,younger,93
EA_exp_3,7,1,p,younger,39
EA_exp_3,7,1,q,older,73
EA_exp_3,7,1,q,older,4
EA_exp_3,7,1,q,older,68
EA_exp_3,7,1,q,older,46
EA_exp_3,7,1,q,older,16
EA_exp_3,7,1,q,older,96
EA_exp_3,7,1,q,older,8
EA_exp_3,7,1,q,older,56
EA_exp_3,7,1,p,younger,36
EA_exp_3,7,1,q,older,42
EA_exp_3,7,1,q,older,43
EA_exp_3,7,1,q,older,63
EA_exp_3,7,1,q,older,35
EA_exp_3,7,1,q,older,66
EA_exp_3,7,1,q,older,95
EA_exp_3,7,1,q,older,77
EA_exp_3,7,1,q,older,9
EA_exp_3,7,1,q,older,47
EA_exp_3,7,1,q,older,6
EA_exp_3,7,1,p,younger,62
EA_exp_3,7,1,q,older,84
EA_exp_3,7,1,q,older,54
EA_exp_3,7,1,q,older,81
EA_exp_3,7,1,q,older,22
EA_exp_3,7,1,p,younger,7
EA_exp_3,7,1,q,older,85
EA_exp_3,7,1,p,younger,99
EA_exp_3,7,1,p,younger,28
EA_exp_3,7,1,p,younger,25
EA_exp_3,7,1,q,older,75
EA_exp_3,7,1,p,younger,44
EA_exp_3,7,1,p,younger,18
EA_exp_3,7,1,p,younger,37
EA_exp_3,7,1,q,older,12
EA_exp_3,7,1,p,younger,94
EA_exp_3,7,1,q,older,53
EA_exp_3,7,1,q,older,58
EA_exp_3,7,1,q,older,11
EA_exp_3,7,1,p,younger,57
EA_exp_3,7,1,q,older,52
EA_exp_3,7,1,q,older,17
EA_exp_3,7,1,q,older,55
EA_exp_3,7,1,q,older,90
EA_exp_3,7,1,p,younger,59
EA_exp_3,7,1,p,younger,19
EA_exp_3,7,1,q,older,1
EA_exp_3,7,1,p,younger,61
EA_exp_3,7,1,p,younger,10
EA_exp_3,7,1,q,older,72
EA_exp_3,7,1,q,older,71
EA_exp_3,7,1,q,older,64
EA_exp_3,7,1,q,older,87
EA_exp_3,7,1,p,younger,65
EA_exp_3,7,1,q,older,98
EA_exp_3,7,1,p,younger,49
EA_exp_3,7,1,p,younger,78
EA_exp_3,7,1,q,older,100
EA_exp_3,7,1,q,older,70
EA_exp_3,7,1,p,younger,80
EA_exp_3,7,1,q,older,40
EA_exp_3,7,1,q,older,32
EA_exp_3,7,1,q,older,27
EA_exp_3,7,1,p,younger,67
EA_exp_3,7,1,q,older,5
EA_exp_3,7,1,p,younger,13
EA_exp_3,7,1,q,older,26
EA_exp_3,7,1,q,older,69
EA_exp_3,7,1,q,older,92
EA_exp_3,7,1,q,older,23
EA_exp_3,7,1,q,older,20
EA_exp_3,8,2,q,older,135
EA_exp_3,8,2,q,older,189
EA_exp_3,8,2,q,older,190
EA_exp_3,8,2,p,younger,180
EA_exp_3,8,2,p,younger,136
EA_exp_3,8,2,q,older,177
EA_exp_3,8,2,p,younger,154
EA_exp_3,8,2,None,NA,159
EA_exp_3,8,2,None,NA,129
EA_exp_3,8,2,None,NA,144
EA_exp_3,8,2,None,NA,150
EA_exp_3,8,2,None,NA,142
EA_exp_3,8,2,None,NA,188
EA_exp_3,8,2,None,NA,176
EA_exp_3,8,2,None,NA,157
EA_exp_3,8,2,None,NA,195
EA_exp_3,8,2,None,NA,151
EA_exp_3,8,2,None,NA,198
EA_exp_3,8,2,None,NA,126
EA_exp_3,8,2,None,NA,163
EA_exp_3,8,2,None,NA,162
EA_exp_3,8,2,None,NA,119
EA_exp_3,8,2,None,NA,116
EA_exp_3,8,2,None,NA,124
EA_exp_3,8,2,None,NA,158
EA_exp_3,8,2,None,NA,145
EA_exp_3,8,2,None,NA,168
EA_exp_3,8,2,None,NA,123
EA_exp_3,8,2,None,NA,146
EA_exp_3,8,2,None,NA,184
EA_exp_3,8,2,None,NA,174
EA_exp_3,8,2,None,NA,111
EA_exp_3,8,2,None,NA,132
EA_exp_3,8,2,None,NA,143
EA_exp_3,8,2,None,NA,200
EA_exp_3,8,2,None,NA,101
EA_exp_3,8,2,None,NA,127
EA_exp_3,8,2,None,NA,107
EA_exp_3,8,2,None,NA,114
EA_exp_3,8,2,None,NA,171
EA_exp_3,8,2,None,NA,193
EA_exp_3,8,2,None,NA,141
EA_exp_3,8,2,None,NA,192
EA_exp_3,8,2,None,NA,147
EA_exp_3,8,2,None,NA,112
EA_exp_3,8,2,None,NA,115
EA_exp_3,8,2,None,NA,133
EA_exp_3,8,2,None,NA,113
EA_exp_3,8,2,None,NA,181
EA_exp_3,8,2,None,NA,185
EA_exp_3,8,2,None,NA,117
EA_exp_3,8,2,None,NA,161
