exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_1b,3,2,4,35,8,148,7,j,3,3219,1854,1,4,4,new,old,female,19
EA_exp_1b,3,2,5,4,6,179,5,j,1,4449,2537,1,3,3,new,old,female,19
EA_exp_1b,3,2,6,43,6,175,5,j,4,12466,2471,1,3,3,new,old,female,19
EA_exp_1b,3,2,7,29,8,140,7,d,3,4674,1728,0,4,4,new,old,female,19
EA_exp_1b,3,2,8,85,6,117,5,j,1,6680,2167,1,3,3,new,old,female,19
EA_exp_1b,3,2,9,52,6,130,5,j,1,1804,3151,1,3,3,new,old,female,19
EA_exp_1b,3,2,10,119,7,73,8,j,4,2526,1714,0,4,4,old,new,female,19
EA_exp_1b,3,2,11,40,6,190,5,j,4,3516,1432,1,3,3,new,old,female,19
EA_exp_1b,3,2,12,46,8,139,7,j,4,10733,2249,1,4,4,new,old,female,19
EA_exp_1b,3,2,13,37,8,106,7,j,4,2749,408,1,4,4,new,old,female,19
EA_exp_1b,3,2,14,149,1,10,2,d,2,3124,3394,1,1,1,old,new,female,19
EA_exp_1b,3,2,15,96,2,120,1,j,1,7992,2337,1,1,1,new,old,female,19
EA_exp_1b,3,2,16,9,6,161,5,d,1,4722,1854,0,3,3,new,old,female,19
EA_exp_1b,3,2,17,64,6,196,5,j,4,3122,4078,1,3,3,new,old,female,19
EA_exp_1b,3,2,18,200,5,79,6,j,1,4758,3379,0,3,3,old,new,female,19
EA_exp_1b,3,2,19,105,3,14,4,j,2,2808,2658,0,2,2,old,new,female,19
EA_exp_1b,3,2,20,171,7,95,8,j,4,3573,960,0,4,4,old,new,female,19
EA_exp_1b,3,2,21,181,9,16,10,j,3,14981,2248,0,5,5,old,new,female,19
EA_exp_1b,3,2,22,158,7,84,8,j,3,4237,1036,0,4,4,old,new,female,19
EA_exp_1b,3,2,23,6,6,152,5,j,1,8958,1587,1,3,3,new,old,female,19
EA_exp_1b,3,2,24,104,5,86,6,d,1,4335,1709,1,3,3,old,new,female,19
EA_exp_1b,3,2,25,36,6,111,5,d,1,2836,1277,0,3,3,new,old,female,19
EA_exp_1b,4,1,1,19,3,167,4,d,2,5149,2979,1,2,2,old,new,female,18
